TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,SID_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],dispstatus_s,features_s,hostname_s,httpPort_d,httpsPort_d,instanceNr_d,sapsid_s,serverTimestamp_t [Pacific Time (US and Canada) Tijuana],startPriority_s,timestamp_t [Pacific Time (US and Canada) Tijuana],Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:17:05.580 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:17:05.066 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:17:04.000 AM",0.5,"4/17/2026, 11:17:05.066 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:18:06.195 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:18:05.790 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:18:05.000 AM",3,"4/17/2026, 11:18:05.779 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:18:06.195 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:18:05.790 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:18:05.000 AM",3,"4/17/2026, 11:18:05.779 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:18:06.195 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:18:05.790 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:18:05.000 AM",1,"4/17/2026, 11:18:05.779 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:18:06.195 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:18:05.790 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:18:05.000 AM",0.5,"4/17/2026, 11:18:05.779 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:19:05.744 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:19:05.343 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:19:05.000 AM",3,"4/17/2026, 11:19:05.334 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:19:05.744 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:19:05.343 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:19:05.000 AM",3,"4/17/2026, 11:19:05.334 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:19:05.744 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:19:05.343 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:19:05.000 AM",1,"4/17/2026, 11:19:05.334 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:19:05.744 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:19:05.343 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:19:05.000 AM",0.5,"4/17/2026, 11:19:05.334 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:15:06.941 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:15:06.520 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:15:06.000 AM",3,"4/17/2026, 11:15:06.519 AM",SapNetweaver_GetSystemInstanceList_CL,
