TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],HOST_s,KEY_s,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],VALUE_s,_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu_cores,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",24,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,kernel.shmmni,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",32768,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net_publicports,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",-,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,os_rlimit_nofile,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",1048576,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,cpu_threads,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",48,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net_publicname,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",10.8.0.20,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,kernel.shmmax,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",18446744073709551615,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,timezone_offset,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",0,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,timezone_dst_name,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",UTC,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,timezone_name,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",UTC,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,ssfs_masterkey_systempki_changed,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",01-10-2024 15:55,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_compiler,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",gcc ('SAP release 11.3.0-sap7') 11.3.0,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net.ipv4.tcp_max_syn_backlog,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.806 PM",8192,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
